quote,author
'An athlete cannot run with money in his pockets. He must run with hope in his heart and dreams in his head.',Emil Zatopek
'I’d rather regret the risks that didn’t work out than the chances I didn’t take at all.',Simone Biles
'Pain is temporary, Quitting lasts forever.',Lance Armstrong
'Only the disciplined ones in life are free. If you are undisciplined, you are a slave to your moods and your passions.',Eliud Kipchoge
'Everybody’s got plans… until they get hit.',Mike Tyson
'Bodybuilding is much like any other sport. To be successful, you must dedicate yourself 100% to your training, diet and mental approach.',Arnold Schwarzenegger
'Kill them with success and bury them with a smile.',Usain Bolt
'It isn’t the mountains ahead to climb that wear you out; it’s the pebble in your shoe.',Muhammad Ali
'It ain’t over till it’s over.',Yogi Berra
'You are the handicap you must face. You are the one who must choose your place.',James Lane Allen
'A champion is defined not by their wins but by how they can recover when they fall.',Serena Williams
'You miss 100% of the shots you don’t take.',Wayne Gretzky
'You have to expect things of yourself before you can do them.',Michael Jordan
'You have to believe in yourself when no one else does – that makes you a winner right there.',Venus Williams
'You have to think it before you can do it. The mind is what makes it all possible.',Kai Greene
'You have to train your mind like you train your body.',Bruce Jenner
'You have to fight to reach your dream. You have to sacrifice and work hard for it.',Lionel Messi
'The most important thing is to try and inspire people so that they can be great in whatever they want to do.',Kobe Bryant
'I didn’t come this far to only come this far, so we’ve still got further to go.',Tom Brady
'I like criticism. It makes you strong.',LeBron James
'Your love makes me strong, your hate makes me unstoppable.',Cristiano Ronaldo
'Excellence is not a singular act but a habit. You are what you do repeatedly.',Shaquille O’Neal
'You can’t put a limit on anything. The more you dream, the farther you get.',Michael Phelps

